Date,BTC-USD,BTC-KRW
2021-10-28-11:13:35,58788.77,72498105.75
2021-10-28-11:13:40,58796.96,72498105.75
2021-10-28-11:13:44,58796.96,72498105.75
2021-10-28-11:13:50,58765.88,72471928.42
2021-10-28-11:13:54,58770.96,72453946.12
2021-10-28-11:13:59,58769.02,72449277.45
2021-10-28-11:14:04,58769.02,72449277.45
2021-10-28-11:14:10,58786.44,72454793.22
2021-10-28-11:14:15,58781.81,72454793.22
2021-10-28-11:14:19,58786.44,72454008.21
2021-10-28-11:14:25,58791.39,72454008.21
2021-10-28-11:14:30,58793.75,72454008.21
2021-10-28-11:14:35,58793.75,72454008.21
2021-10-28-11:14:40,58796.74,72454008.21
2021-10-28-11:14:44,58796.75,72454008.21
2021-10-28-11:14:49,58797.16,72467716.33
2021-10-28-11:14:54,58797.54,72467716.33
2021-10-28-11:14:59,58797.25,72467716.33
2021-10-28-11:15:05,58795.43,72467716.33
2021-10-28-11:15:10,58795.43,72467716.33
2021-10-28-11:15:14,58808.3,72475453.72
2021-10-28-11:15:20,58801.82,72476660.05
2021-10-28-11:15:24,58802.44,72476660.05
2021-10-28-11:15:29,58797.53,72476660.05
2021-10-28-11:15:35,58797.53,72476660.05
2021-10-28-11:15:40,58796.33,72476660.05
